Title,Licensee,Released
"Lawnmower Man, The",THQ,1993-11-01
Legend,Seika,1994-04-01
"Legend of the Mystical Ninja, The",Konami,1992-02-01
"Legend of Zelda: A Link to the Past, The",Nintendo,1992-04-01
Lemmings,Sunsoft,1992-03-01
Lemmings 2: The Tribes,Psygnosis,1994-11-01
Lester the Unlikely,DTMC,1994-01-01
Lethal Enforcers,Konami,1994-01-01
Lethal Weapon,Ocean,1992-12-01
Liberty or Death,Koei,1994-04-01
Lock On,Vic Tokai,1993-10-01
Looney Tunes B-Ball!,Acclaim,1995-02-01
"Lord of the Rings: Volume 1 , The",Interplay,1994-10-01
"Lost Vikings , The",Interplay,1993-04-01
"Lost Vikings 2, The",Interplay,1997-05-01
Lufia & The Fortress of Doom,Taito Software,1993-12-01
Lufia 2: Rise of the Sinistrals,Natsume,1996-08-01
Madden '96,EA Sports,1995-11-01
Madden NFL 94,EA Sports,1993-10-01
Madden NFL 95,EA Sports,1994-11-01
Madden NFL 97,Electronic Arts,1996-10-01
Madden NFL 98,THQ,1997-11-01
Magic Boy,JVC,1996-08-01
Magic Sword,Capcom,1992-08-01
"Magical Quest starring Mickey Mouse, The",Capcom,1992-12-01
Mario is Missing!,Software Toolworks,1993-06-01
Mario Paint,Nintendo,1992-08-01
Mario's Early Years: Fun with Numbers,Software Toolworks,1994-09-01
Mario's Early Years: Fun with Letters,Software Toolworks,1994-10-01
Mario's Early Years: Pre-School,Mindscape,1994-11-01
Mario's Time Machine,Mindscape,1993-12-01
Mark Davis': The Fishing Master,Natsume,1996-04-01
Marvel Super Heroes: War of the Gems,Capcom,1996-11-01
Mary Shelley's Frankenstein,Sony Imagesoft,1994-11-01
"Mask, The",Black Pearl Software,1995-10-01
Math Blaster: Episode 1,Davidson Assoc.,1994-10-01
Maui Mallard in Cold Shadow,Nintendo,1996-11-01
Mecarobot Golf,Toho,1993-09-01
MechWarrior,Activision,1993-05-01
MechWarrior 3050,Activision,1995-10-01
Mega Man 7,Capcom,1995-09-01
Mega Man Soccer,Capcom,1994-04-01
Mega Man X,Majesco,1994-01-01
Mega Man X2,Capcom,1995-01-01
Mega Man X3,Capcom,1996-01-01
Metal Combat: Falcon's Revenge,Nintendo,1993-12-01
Metal Marines,Namco,1993-12-01
Metal Morph,FCI,1994-12-01
Metal Warriors,Konami,1995-04-01
Michael Andretti's Indy Car Challenge,Bullet Proof Software,1994-09-01
Michael Jordan in Chaos in the Windy City,Electronic Arts,1994-11-01
Mickey Mania: The Timeless Adventures of Mickey Mouse,Sony Imagesoft,1994-10-01
Mickey's Ultimate Challenge,Hi-Tech,1994-02-01
Micro Machines,Ocean,1994-12-01
Might & Magic III: Isles of Terra,FCI,1995-01-01
Mighty Max,Ocean,1995-02-01
Mighty Morphin Power Rangers,Bandai,1994-09-01
Mighty Morphin Power Rangers - The Movie,Bandai,1995-06-01
Mighty Morphin Power Rangers Fighting Edition,Bandai,1995-09-01
MLBPA Baseball,EA Sports,1994-03-01
Mohawk and Headphone Jack,Black Pearl Software,1996-08-01
Monopoly,Majesco,1992-09-01
Mortal Kombat,Acclaim,1993-09-01
Mortal Kombat II,Acclaim,1994-09-01
Mortal Kombat III,Midway,1995-10-01
Mountain Bike Rally,Life Fitness,1994-10-01
Mr. Do!,Black Pearl Software,1996-12-01
Mr. Nutz,Ocean,1994-08-01
Ms. Pac Man,Midway,1996-09-01
Musya: The Classic Japanese Tale of Horror,Seta,1992-12-01
Mutant Chronicles: Doomtroopers,Playmates,1995-11-01
Natsume Championship Wrestling,Natsume,1994-06-01
NBA All-Star Challenge,LJN,1992-12-01
NBA Give 'N Go,Konami,1995-11-01
NBA Hang Time,Midway,1996-11-01
NBA Jam,Acclaim,1994-03-01
NBA Jam Tournament Edition,Acclaim,1995-02-01
NBA Live '95,EA Sports,1994-10-01
NBA Live '96,EA Sports,1995-10-01
NBA Live '97,EA Sports,1996-12-01
NBA Live '98,THQ,1998-03-01
NBA Showdown,EA Sports,1993-10-01
NCAA Basketball,Nintendo,1992-10-01
NCAA Final Four Basketball,Mindscape,1995-02-01
NCAA Football,Mindscape,1994-10-01
Newman Haas' Indy Car Racing: Featuring Nigel Mansell,Acclaim,1994-11-01
NFL Football,Konami,1993-07-01
NFL MVP Football,Capcom,1993-10-01
NFL Quarterback Club,LJN,1994-12-01
NFL Quarterback Club '96,Acclaim,1995-11-01
