Title,Licensee,Released
Pokemon Puzzle League,Nintendo,2000-09-01
Pokemon Snap,Nintendo,1999-07-01
Pokemon Stadium,Nintendo,2000-03-01
Pokemon Stadium 2,Nintendo,2001-03-01
Polaris Snocross,Vatical Entertainment,2000-12-01
Powerpuff Girls: Chemical X Traction,Bay Area Mutimedia,2001-11-01
Power Rangers Lightspeed Rescue,THQ,2000-10-01
Quake 64,Midway,1998-03-01
Quake II,Activision,1999-06-01
Quest 64,THQ,1998-06-01
Rainbow Six,Red Storm,1999-11-01
Rally Challenge 2000,South Peak Interactive,2000-06-01
Rampage 2: Universal Tour,Midway,1999-03-01
Rampage World Tour,Midway,1998-03-01
Rat Attack,Mindscape,2000-03-01
Rayman 2,Ubi Soft,1999-11-01
Ready 2 Rumble,Midway,1999-11-01
Ready 2 Rumble 2,Midway,2000-11-01
Resident Evil 2,Capcom,1999-11-01
Re-Volt,Acclaim,1999-08-01
Ridge Racer 64,Nintendo,2000-02-01
Road Rash,EA Sports,1999-09-01
Roadsters,Titus,1999-12-01
Robotron 64,Crave Entertainment,1998-01-01
Rocket: Robot on Wheels,Ubi Soft,1999-11-01
Rugrats: Scavenger Hunt,THQ,1999-06-01
Rugrats in Paris: The Movie,THQ,2000-11-01
Rush 2049,Midway,2000-09-01
Rush 2: Extreme Racing,Midway,1998-11-01
San Francisco Rush: Extreme Racing,Midway,1997-11-01
SCARS,Ubi Soft,1998-12-01
Scooby Doo: Classic Creep Capers,THQ,2000-12-01
Shadow Man,Acclaim,1999-08-01
Shadowgate 64: Trial of the Four Towers,Kemco,1999-06-01
Snowboard Kids,Atlus Software,1998-02-01
Snowboard Kids 2,Atlus Software,1999-03-01
South Park,Acclaim,1998-12-01
South Park Rally,Acclaim,2000-02-01
Space Invaders,Activision,1999-12-01
Space Station: Silicon Valley,Take 2 Interactive,1998-10-01
Spider-Man,Activision,2000-11-01
Star Fox 64,Nintendo,1997-06-01
Star Fox 64,Nintendo,1997-06-01
Star Soldier: Vanishing Earth,Electro Brain,1998-12-01
Star Wars Episode One: Battle for Naboo,Lucas Arts,2000-12-01
Star Wars Episode One: Racer,Nintendo,1999-05-01
Star Wars: Rogue Squadron,Nintendo,1998-12-01
Star Wars: Shadows of the Empire,Nintendo,1996-12-01
StarCraft,Nintendo,2000-06-01
Starshot: Space Circus Fever,Ocean,1999-06-01
Super Bowling,UFO,2001-02-01
Super Mario 64,Nintendo,1996-09-01
Super Smash Brothers,Nintendo,1999-04-01
Supercross 2000,EA Sports,1999-12-01
Superman,Titus,1999-05-01
Tetrisphere,Nintendo,1997-08-01
The Legend of Zelda: Ocarina of Time,Nintendo,1998-11-01
The Legend of Zelda: Majora's Mask,Nintendo,2000-10-01
The New Tetris,Nintendo,1999-07-01
The World Is Not Enough,Electronic Arts,2000-10-01
Tom and Jerry: Fists of Furry,NewKidCo,2000-12-01
Tonic Trouble,Ubi Soft,1999-09-01
Tony Hawk's Pro Skater,Activision,2000-03-01
Tony Hawk's Pro Skater 2,Activision,2001-08-01
Tony Hawk's Pro Skater 3,Activision,2002-08-01
Top Gear Hyper-Bike,Kemco,2000-03-01
Top Gear Overdrive,Kemco,1998-11-01
Top Gear Rally,Midway,1997-10-01
Top Gear Rally 2,EA Sports,1999-12-01
Tranformers Beast Wars: Transmetals,Bay Area Multimedia,2000-11-01
Triple Play 2000,EA Sports,1999-03-01
Turok 2: Seeds of Evil,Acclaim,1998-12-01
Turok 3: Shadow of Oblivion,Acclain,2000-08-01
Turok: Dinosaur Hunter,Acclaim,1997-02-01
Turok: Rage Wars,Acclaim,1999-11-01
Conker's Bad Fur Day,Nintendo,2001-03-01
Twisted Edge Snowboarding,Midway,1998-11-01
Vigilante 8,Activision,1999-03-01
Vigilante 8: Second Offensive,Activision,2000-02-01
Virtual Chess 64,Titus,1998-06-01
Virtual Pool 64,Crave Entertainment,1998-11-01
V-Rally Edition 99,Infogrames,1999-09-01
Waialae Country Club: True Golf Classics,Nintendo,1998-07-01
War Gods,Midway,1997-05-01
Wave Race 64 Kawasaki Jet Ski,Nintendo,1996-11-01
Wayne Gretzky's 3D Hockey,Midway,1996-11-01
WCW Mayhem,Electronic Arts,1999-09-01
WCW Backstage Assault,Electronic Arts,2000-12-01
WCW vs NWO: World Tour,THQ,1997-11-01
WCW vs NWO: Nitro,THQ,1999-02-01
WCW/NWO Revenge,THQ,1998-10-01
Wetrix,Ocean,1998-06-01
Wheel of Fortune,Gametek,1997-12-01
WinBack,Koei,1999-10-01
Wipeout 64,Psygnosis,1998-11-01
World Cup '98,EA Sports,1998-05-01
World Driver Chamionship,Midway,1999-06-01
Worms: Armageddon,Infogrames,2000-03-01
WWF Wrestlemania 2000,THQ,1999-11-01
WWF: War Zone,Acclaim,1998-08-01
WWF: Attitude,Acclaim,1999-08-01
WWF: No Mercy,THQ,2000-11-01
Xena Warrior Princess: The Talisman of Fate,Titus,1999-12-01
Yoshi's Story,Nintendo,1998-03-01
