Title,Licensee,Released
Sword Master,Activision,1992-01-01
Swords and Serpents,Acclaim,1990-08-01
Taboo: The Sixth Sense,Tradewest,1989-04-01
Tag Team Wrestling,Data East,1986-10-01
Tale Spin,Capcom,1991-12-01
Target: Renegade,Taito Software,1990-03-01
Tecmo Baseball,Tecmo,1989-01-01
Tecmo Bowl,Tecmo,1989-02-01
Tecmo NBA Basketball,Tecmo,1992-11-01
Tecmo Super Bowl,Tecmo,1991-12-01
Tecmo World Cup Soccer,Tecmo,1992-09-01
Tecmo World Wrestling,Tecmo,1990-04-01
Teenage Mutant Ninja Turtles,Ultra Soft,1989-06-01
Teenage Mutant Ninja Turtles II: The Arcade Game,Ultra Soft,1990-12-01
Teenage Mutant Ninja Turtles III: The Manhattan Project,Ultra Soft,1992-02-01
Teenage Mutant Ninja Turtles: Tournament Fighters,Konami,1994-02-01
Tennis,Nintendo,1985-10-01
Terminator 2: Judgment Day,Acclaim,1992-02-01
"Terminator, The",Mindscape,1992-12-01
Terra Cresta,Vic Tokai,1990-03-01
Tetris,Nintendo,1989-11-01
Tetris 2,Nintendo,1993-10-01
"Three Stooges, The",Activision,1989-10-01
Thunder & Lightning,Romstar,1990-12-01
Thunderbirds,Activision,1990-09-01
Thundercade,American Sammy,1989-07-01
Tiger-Heli,Acclaim,1987-09-01
Time Lord,Milton Bradley,1990-09-01
Times of Lore,Toho,1991-05-01
Tiny Toon Adventures,Konami,1991-12-01
Tiny Toon Adventures 2: Trouble in Wackyland,Konami,1993-04-01
Tiny Toon Adventures Cartoon Workshop,Konami,1992-12-01
To the Earth,Nintendo,1989-11-01
Toki,Taito Software,1991-12-01
Tom & Jerry,Hi-Tech,1991-12-01
Tombs & Treasure,Activision,1991-06-01
Top Gun,Konami,1987-11-01
Top Gun: The Second Mission,Konami,1990-01-01
Total Recall,Acclaim,1990-08-01
Totally Rad,Jaleco,1991-03-01
Touchdown Fever,SNK,1991-02-01
Town & Country II: Thrilla's Surfari,Acclaim,1992-03-01
Town & Country Surf Designs,LJN,1988-02-01
Toxic Crusaders,Bandai,1992-04-01
Track & Field,Konami,1987-04-01
Track & Field II,Konami,1989-06-01
Treasure Master,American Softworks,1991-12-01
Trog,Acclaim,1991-10-01
Trojan,Capcom,1987-02-01
Twin Cobra,American Sammy,1990-01-01
Twin Eagle,Romstar,1989-10-01
Ultima: Exodus,FCI,1989-02-01
