Title,Licensee,Released
Mega Man X-Treme,Capcom,2001-01-01
Megalit,Takara,1992-12-01
Men in Black: The Series,Crave Entertainment,1998-12-01
Mercenary Force,Meldac,1990-10-01
Metal Masters,Electro Brain,1994-12-01
Metal Walker,Capcom,2001-02-01
Metroid II: Return of Samus,Nintendo,1991-11-01
Mickey Mouse Magic Wands,Nintendo,1998-05-01
Mickey's Dangerous Chase,Nintendo,1991-05-01
Mickey's Ultimate Challenge,Hi-Tech,1994-05-01
Micro Machines,Ocean,1995-01-01
Mighty Morphin' Power Rangers,Bandai,1994-08-01
Mighty Morphin Power Rangers - The Movie,Bandai,1995-08-01
Milon's Secret Castle,Hudson Soft,1993-03-01
Miner 2049er,Mindscape,1992-10-01
Missile Command,Accolade,1992-03-01
Mole Mania,Nintendo,1997-02-01
Monopoly,Parker Brothers,1991-12-01
Monster Max,Titus,1995-01-01
Monster Rancher Battle Card Edition,Tecmo,2000-04-01
Montezuma's Return,Take 2 Interactive,1998-12-01
Mortal Kombat,Acclaim,1993-09-01
Mortal Kombat I & II (2-in-1),Midway,1997-11-01
Mortal Kombat II,Acclaim,1994-09-01
Mortal Kombat III,Midway,1995-11-01
Mortal Kombat IV,Midway,1998-12-01
Motocross Maniacs,Ultra Soft,1990-01-01
Mouse Trap Hotel,Milton Bradley,1992-10-01
Mr. Chin's Gourmet Paradise,Romstar,1990-10-01
Mr. Do!,Ocean,1992-11-01
Ms. Pac Man,Namco,1993-10-01
Ms. Pac Man Special Color Edition,Namco,1999-11-01
Muhammad Ali Heavyweight Boxing,Virgin Interactive,1993-07-01
Mysterium,Asmik,1991-07-01
Mystical Ninja Starring Goemon,Konami,1998-04-01
Nail 'N Scale,Data East,1992-04-01
Navy Seals,Ocean,1991-09-01
NBA 3 on 3 Featuring Kobe Bryant,Nintendo,1999-12-01
NBA All-Star Challenge,LJN,1991-02-01
NBA All-Star Challenge 2,LJN,1992-05-01
NBA In The Zone '99,Konami,1999-05-01
NBA Jam,LJN,1994-11-01
NBA Jam '99,Acclaim,1999-04-01
NBA Jam Tournament Edition,Acclaim,1995-06-01
NBA Live '96,Black Pearl Software,1996-03-01
Nemesis,Ultra Soft,1990-04-01
"New Chessmaster, The",Hi-Tech,1993-04-01
NFL Blitz,Midway,1998-12-01
NFL Football,Konami,1990-04-01
NFL Quarterback Club,LJN,1993-11-01
NFL Quarterback Club 2,LJN,1995-03-01
NFL Quarterback Club '96,Acclaim,1995-10-01
NHL '96,Black Pearl Software,1996-07-01
NHL 2000,THQ,2000-02-01
NHL Hockey '95,Malibu Games,1995-06-01
Nigel Mansell's World Championship Racing,Gametek,1993-08-01
Ninja Boy,Culture Brain,1990-11-01
Ninja Boy 2,Culture Brain,1993-04-01
Ninja Gaiden Shadow,Tecmo,1991-12-01
Ninja Taro,American Sammy,1992-09-01
Nintendo World Cup Soccer,Nintendo,1991-06-01
Nobunaga's Ambition,Koei,1991-03-01
Oddworld: Abe's Adventure,GT Interactive,1998-12-01
Oddworld Adventures 2,GT Interactive,2000-01-01
Olympic Summer Games,Black Pearl Software,1996-06-01
Operation C,Ultra Soft,1991-02-01
Out of Gas,FCI,1992-10-01
Pac Man,Namco,1991-04-01
Pac Man Special Color Edition,Namco,1999-08-01
Pac-Attack,Namco,1994-12-01
Pac-in-Time,Namco,1995-02-01
"Pagemaster, The",Fox Interactive,1994-11-01
Panel Action Bingo,FCI,1993-11-01
Paperboy,Mindscape,1990-07-01
Paperboy 2,Mindscape,1992-04-01
Penguin Wars,Ascii,1990-07-01
PGA European Tour,Malibu Games,1995-04-01
PGA Tour '96,Black Pearl Software,1995-11-01
Pinball Dreams,Gametek,1993-08-01
Pinball Fantasies,Gametek,1995-02-01
Pipe Dream,Bullet Proof Software,1990-09-01
Pitfall: Beyond the Jungle,Crave Entertainment,1998-12-01
Pit-Fighter,THQ,1992-06-01
Play Action Football,Nintendo,1990-12-01
Pocahontas,Black Pearl Software,1996-04-01
Pocket Bomberman,Nintendo,1998-11-01
Pocket Bowling,Jaleco,1999-08-01
Pokemon,Nintendo,1998-09-01
Pokemon Gold,Nintendo,2000-10-01
Pokemon Pinball,Nintendo,1999-06-01
Pokemon Silver,Nintendo,2000-10-01
Pokemon Trading Card Game,Nintendo,2000-04-01
Pokemon Yellow,Nintendo,1999-10-01
Popeye II,Activision,1993-10-01
Power Mission,NTVIC,1991-01-01
Power Quest,Sunsoft,1998-12-01
Power Racer,Tecmo,1990-12-01
Prehistorik Man,Titus,1996-01-01
Primal Rage,Time Warner,1995-07-01
Prince of Persia,Virgin Interactive,1992-01-01
Prophecy: The Viking Child,Gametek,1992-07-01
"Punisher, The",LJN,1991-07-01
Puzzle Master,Metro 3D Studios,1999-12-01
Pyramids of Ra,Matchbox Toys,1993-04-01
Q Billion,Seta,1990-04-01
Q*Bert,Jaleco,1992-02-01
Qix,Nintendo,1990-05-01
Quarth,Ultra Soft,1990-12-01
Quest Fantasy Challenge,Sunsoft,1999-04-01
Quest for Camelot,Nintendo,1998-12-01
Quest RPG: Brian's Journey,Sunsoft,2000-01-01
Race Days,Gametek,1994-11-01
Race Drivin',THQ,1993-01-01
Radar Mission,Nintendo,1991-02-01
Raging Fighter,Konami,1993-06-01
Rampage: World Tour,Midway,1998-12-01
Rats!,Take 2 Interactive,1998-12-01
"Real Ghostbusters , The",Activision,1993-10-01
"Ren & Stimpy Show: Space Cadet Adventures, The",THQ,1992-11-01
"Ren & Stimpy Show: Veediots!, The",THQ,1993-10-01
"Rescue of Princess Blobette, The",Absolute,1991-05-01
Revelations: Demon Slayer,Atlus Software,1999-08-01
Revenge of the 'Gator,Hal America,1990-03-01
Riddick Bowe Boxing,Extreme,1994-01-01
